*TT   1
T1   EXAMPLE 3:  Sloping water surface with conveyance weighting
XS   SEC4 1000
GR        2,13.78 5,13.4 10,13.2 15,13.1 20,12.6 22,10.7
GR        27,9.7 31,9.5 35,9.3 40,9.2 45,9.4 50,9.7
GR        55,9.7 60,9.7 64,10.5 67,10.6 69,12.7 72,13.4
GR        74,13.75 72.,13.8 5.,13.8 2.,13.78
N         0.080 0.045 0.045
SA        20. 69.
HP 4 SEC4 13.8
XS   SEC3 1119
GR        1,14.71 5,14.1 10,13.7 14,13.2 16,11.9 20,11.3
GR        25,10.8 30,10.5 35,10.5 40,10.4 45,10.5 50,10.4
GR        55,10.5 60,10.7 63,11.5 66,12.2 68,14.1 72,14.6
GR        73,14.95 72.,14.9 45.,14.9 40.,14.8 16.,14.8
GR        14.,14.7 5.,14.7 1.,14.71
N         0.080 0.045 0.045
SA        14. 68.
HP 4 SEC3 14.95
XS   SEC2 1209
GR        2,15.26 4,14.9 8,14.4 11,14.0 12,11.6 15,11.6
GR        20,11.8 25,11.8 30,11.5 35,11.3 40,11.1 45,11.1
GR        50,11.1 55,11.5 59,12.2 63,13.1 66,15.1 67,15.51
GR        66,15.5 55.,15.5 50.,15.4 30.,15.4 25.,15.3 4.,15.3
GR        2,15.26
N         0.045 0.045
SA        11.
HP 4 SEC2 15.51
XS   SEC1 1330
GR        1,16.3 4,15.0 7,13.5 10,13.2 15,13.1 20,12.9 25,13.0
GR        30,12.9 35,12.4 40,12.5 45,12.1 50,12.5 55,12.6 60,13.7
GR        64,15.2 67,16.4 35.,16.4 30.,16.3 1,16.3
N         0.045
HP 4 SEC1 16.4
